Vehicle_ID,Scenario,Controller,Street,Main_Arrival_Rate,Side_Arrival_Rate,Arrival_Time_seconds,Queue_Length_vehicles,Green_Time_seconds,Vehicle_Delay_seconds,Crossing_Time_seconds,Delay_Category,Processed,Scenario_Average_Delay_seconds,Scenario_Average_Queue_vehicles,Scenario_Total_Throughput_vehicles,Simulation_Time_seconds,Vehicle_Clearance_Time_seconds,Light_Change_Time_seconds,Description
1,S2_Adaptive,Adaptive,Main,0.5,0.3,3394.47,13,46,36.81,3431.28,Medium,Yes,44.12,10.72,2812,3600,1.8,5,Balanced Load with Demand-Responsive (Smart) Timing
2,S2_Adaptive,Adaptive,Main,0.5,0.3,3292.37,6,30,46.53,3338.9,Medium,Yes,44.12,10.72,2812,3600,1.8,5,Balanced Load with Demand-Responsive (Smart) Timing
3,S3_Imbalanced,Adaptive,Main,0.64,0.16,1940.32,11,40,36.13,1976.45,Medium,Yes,48.82,12.01,2825,3600,1.8,5,Imbalanced Load (80% Main) with Demand-Responsive Timing
4,S1_Fixed,Fixed,Main,0.5,0.3,3590.37,18,40,63.23,3600,High,Yes,52.54,14.97,2813,3600,1.8,5,Baseline (62.5% Main) with Fixed Timing (40s/20s)
5,S2_Adaptive,Adaptive,Side,0.5,0.3,3099.97,12,42,49.93,3149.9,Medium,Yes,44.12,10.72,2812,3600,1.8,5,Balanced Load with Demand-Responsive (Smart) Timing
6,S2_Adaptive,Adaptive,Main,0.5,0.3,1385.16,6,31,36.48,1421.64,Medium,Yes,44.12,10.72,2812,3600,1.8,5,Balanced Load with Demand-Responsive (Smart) Timing
7,S1_Fixed,Fixed,Side,0.5,0.3,3098.81,22,20,53.92,3152.73,Medium,Yes,52.54,14.97,2813,3600,1.8,5,Baseline (62.5% Main) with Fixed Timing (40s/20s)
8,S3_Imbalanced,Adaptive,Main,0.64,0.16,1933.09,11,22,65.9,1998.99,High,Yes,48.82,12.01,2825,3600,1.8,5,Imbalanced Load (80% Main) with Demand-Responsive Timing
9,S1_Fixed,Fixed,Main,0.5,0.3,569.37,22,40,52.93,622.3,Medium,Yes,52.54,14.97,2813,3600,1.8,5,Baseline (62.5% Main) with Fixed Timing (40s/20s)
10,S3_Imbalanced,Adaptive,Main,0.64,0.16,3498.8,12,21,34.57,3533.37,Medium,Yes,48.82,12.01,2825,3600,1.8,5,Imbalanced Load (80% Main) with Demand-Responsive Timing
11,S3_Imbalanced,Adaptive,Side,0.64,0.16,1074.4,7,24,36.22,1110.62,Medium,Yes,48.82,12.01,2825,3600,1.8,5,Imbalanced Load (80% Main) with Demand-Responsive Timing
12,S1_Fixed,Fixed,Main,0.5,0.3,581.58,25,40,44.72,626.3,Medium,Yes,52.54,14.97,2813,3600,1.8,5,Baseline (62.5% Main) with Fixed Timing (40s/20s)
13,S2_Adaptive,Adaptive,Side,0.5,0.3,2156.2,8,38,44.54,2200.74,Medium,Yes,44.12,10.72,2812,3600,1.8,5,Balanced Load with Demand-Responsive (Smart) Timing
14,S2_Adaptive,Adaptive,Side,0.5,0.3,2994.0,10,20,48.0,3042.0,Medium,Yes,44.12,10.72,2812,3600,1.8,5,Balanced Load with Demand-Responsive (Smart) Timing
15,S3_Imbalanced,Adaptive,Main,0.64,0.16,1749.57,19,23,57.37,1806.94,Medium,Yes,48.82,12.01,2825,3600,1.8,5,Imbalanced Load (80% Main) with Demand-Responsive Timing
16,S2_Adaptive,Adaptive,Main,0.5,0.3,1711.02,6,42,41.22,1752.24,Medium,Yes,44.12,10.72,2812,3600,1.8,5,Balanced Load with Demand-Responsive (Smart) Timing
17,S2_Adaptive,Adaptive,Side,0.5,0.3,3344.09,10,34,25.77,3369.86,Low,Yes,44.12,10.72,2812,3600,1.8,5,Balanced Load with Demand-Responsive (Smart) Timing
18,S3_Imbalanced,Adaptive,Main,0.64,0.16,2418.07,4,43,67.19,2485.26,High,Yes,48.82,12.01,2825,3600,1.8,5,Imbalanced Load (80% Main) with Demand-Responsive Timing
19,S3_Imbalanced,Adaptive,Main,0.64,0.16,808.91,8,29,62.42,871.33,High,Yes,48.82,12.01,2825,3600,1.8,5,Imbalanced Load (80% Main) with Demand-Responsive Timing
20,S2_Adaptive,Adaptive,Main,0.5,0.3,25.89,10,19,40.09,65.98,Medium,Yes,44.12,10.72,2812,3600,1.8,5,Balanced Load with Demand-Responsive (Smart) Timing
21,S1_Fixed,Fixed,Side,0.5,0.3,3094.69,18,20,56.35,3151.04,Medium,Yes,52.54,14.97,2813,3600,1.8,5,Baseline (62.5% Main) with Fixed Timing (40s/20s)
22,S1_Fixed,Fixed,Side,0.5,0.3,771.25,22,20,73.3,844.55,High,Yes,52.54,14.97,2813,3600,1.8,5,Baseline (62.5% Main) with Fixed Timing (40s/20s)
23,S1_Fixed,Fixed,Main,0.5,0.3,1701.62,16,40,31.27,1732.89,Medium,Yes,52.54,14.97,2813,3600,1.8,5,Baseline (62.5% Main) with Fixed Timing (40s/20s)
24,S3_Imbalanced,Adaptive,Main,0.64,0.16,348.95,7,44,54.11,403.06,Medium,Yes,48.82,12.01,2825,3600,1.8,5,Imbalanced Load (80% Main) with Demand-Responsive Timing
25,S3_Imbalanced,Adaptive,Side,0.64,0.16,195.02,7,18,34.61,229.63,Medium,Yes,48.82,12.01,2825,3600,1.8,5,Imbalanced Load (80% Main) with Demand-Responsive Timing
26,S2_Adaptive,Adaptive,Main,0.5,0.3,1221.49,13,27,37.19,1258.68,Medium,Yes,44.12,10.72,2812,3600,1.8,5,Balanced Load with Demand-Responsive (Smart) Timing
27,S3_Imbalanced,Adaptive,Main,0.64,0.16,504.66,14,19,61.04,565.7,High,Yes,48.82,12.01,2825,3600,1.8,5,Imbalanced Load (80% Main) with Demand-Responsive Timing
